DAY,DATE/TIME,LOCATION,INVOLVED/ESTABLISHMENT NAME/OWNER/s-OCCUPANT/S,CAUSE/ORIGIN of FIRE/NATURE OF CASE,LEVEL OF ALARM,KILLED,INJURED, FAI's ,STATUS of CASE/AMOUNT of DAMAGE/                              FAI-on-Case
F,02 Dec 2022 2204H,"Freedom Park Buendia cor. Ayala Ave. Ext. Brgy. San Antonio, Makati City",Non_Structural/Post Fire/Meralco,Electrical ignition caused by overloading,Fireout Upon Arrival,Negative,Negative," SFO4 Macababayao SFO1 Tuburan, FO3 Batalla","Php1,000.00"
F,02 Dec 2022 2142H,"1590 Iriga St., Brgy.San Antonio, Makati City",4 Storey Residential/Single Family Dwelling/Alteria Land Inc,Electrical Ignition caused by Arcing,Fireout Upon Arrival,Negative,Negative," SFO4 Macababayao SFO1 Tuburan, FO3 Batalla","Php1,000.00"
M,05 Dec 2022 1602H,"85 Alligator St., Brgy. Rizal, Makati City",Residential/Single Family Dwelling/                                                 No. of Affected Structrure: 1,Open flame from Cooking (firewood),1st Alarm,Negative,Negative,SFO1 Umnas/SFO1 Balleta,"Php5,000.00"
M,05 Dec 2022   1655H,"5895 Zobel Roxas cor. Arellano St., Brgy. Palanan, Makati City",Residential(informal settlers)/Single Family Dwelling/                                           No. of Affected Structrure: 1,Fire Under Investigation (on process)                                                 Cause: ,1st Alarm,Negative,Negative,SFO1 Umnas/SFO1 Balleta,"Php25,000.00"
W,07 Dec 2022 1152H,"0051 Daffodil St., Zone 1 Brgy Rizal, Makati City",Non_Structural/Post Fire/Meralco,electrical ignition caused by loosed connection,Fireout Upon Arrival,Negative,Negative,SFO1 Umnas/SFO1 Balleta,Php500.00
TH,08 Dec 2022  0445H,"B109 Lot 24 Ricarte St., Brgy Rizal, Makati City",Residential/Single Family Dwelling/,Unattended lighted candle,Fireout Upon Arrival,Negative,Negative,SFO1 Umnas/SFO1 Balleta,Php500.00
TH,08 Dec 2022   0736H,"6750 Ayala Office Tower, Ayala Ave, Brgy San Lorenzo, Makati City",Non_Residential/Mercantile/Starbucks Coffee/,Electrical ignition caused by loosed connection,Fireout Upon Arrival,Negative,Negative,SFO1 Umnas/SFO1 Balleta,"Php1,000.00"
SA,10 Dec 2022  1916H,"Blk 55 Lot 12 Mansanas St., Zone 1, Brgy. Rizal, Makati City",Non_Structural/Post Fire/Meralco,electrical ignition caused by loosed connection,Fireout Upon Arrival,Negative,Negative,SFO1 Umnas/SFO1 Balleta,Php500.00
SA,10 Dec 2022 2021H,"0005 Kalaw St., Zone 1, Brgy. Rizal, Makati City",Residential/Single Family Dwelling,electrical ignition caused by loosed connection,Fireout Upon Arrival,Negative,Negative," SFO4 Macababayao SFO1 Tuburan, FO3 Batalla",Php500.00
M,12 Dec 2022 1028H,"#130 Caimito St., Brgy. Cembo, Makati City",3 Storey Residential/Single Family Dwelling/                                                             No. of Affected Structrure: 1,Fire Under Investigation (on process)  ,1st Alarm,Negative,Negative," SFO4 Macababayao SFO1 Tuburan, FO3 Batalla","Php180,000.00"
M,12 Dec 2022  2003H,"Malvar St., cor. MH Del Pilar St., Brgy. Rizal, Makati City",3 Storey Residential/Single Family Dwelling/,Open flame from Unattended Cooking (Stove),Fireout Upon Arrival,Negative,Negative," SFO4 Macababayao SFO1 Tuburan, FO3 Batalla",Php500.00
M,12 Dec 2022  2203H,"#7409 Infanta St., Brgy. Olympia, Makati City",3 Storey Residential/Single Family Dwelling/,Open flame from unattended lighted candle,No Alarm,Negative,Negative," SFO4 Macababayao SFO1 Tuburan, FO3 Batalla",Php600.00
W,14 Dec 2022  1819H,"#1178 Pablo Ocampo St., Brgy. Sta. Cruz, Makati City",7 Storey Non_Residential/Business/,Ignition of materials caused by acetylene/hotworkks,Fireout Upon Arrival,Negative,Negative," SFO4 Macababayao SFO1 Tuburan, FO3 Batalla","Php1,000.00"
TH,15 Dec 2022  1249H,"J.P Rizal cor. Ilaya Sts., Brgy. Poblacion, Makati City",Transport/Automobile/Nissan Frontier/,Ignition of materials caused by acetylene/hotworkks,Fireout Upon Arrival,Negative,Negative," SFO4 Macababayao SFO1 Tuburan, FO3 Batalla","Php1,000.00"
TH,15 Dec 2022   1600H,"Juno Junk Shop Zobel Roxas, Brgy. La Paz, Makati City",Non_Structural/Rubbish Fire/,Smoking (lighted cigarette),No Alarm,Negative,Negative," SFO4 Macababayao SFO1 Tuburan, FO3 Batalla",Php0.00
SU,18 Dec 2022 2252H,"151-0 18th Ave., cor. Mapayapa St., Brgy. East Rembo, Makati City",Residential/Single Family Dwelling/,Open flame from Cooking(Stove),Fireout Upon Arrival,Negative,," SFO4 Macababayao SFO1 Tuburan, FO3 Batalla","Php1,000.00"
TU,20 Dec 2022 2245H,"2969 A Bonifacio St., Brgy. Poblacion, Makati City",Non_Structural/Post Fire/Meralco,Electrical ignition caused by loosed connection,No Alarm,Negative,Negative,SFO1 Pacubat/SFO1 Balleta,Php500.00
W,21 Dec 2022 0023H,"8439 Kalayaan Ave., Brgy. Poblacion, Makati City",Non_Residential/Mercantile/Toker Bar & Restaurant/Mr Harry Cui/With FSIC,Open flame from Cooking (Grilling Machine),Fireout Upon Arrival,Negative,Negative,SFO1 Pacubat/SFO1 Balleta,Php500.00
F,23 Dec 2022 1512H,"North EDSA (Bus Stop), Brgy. Magallanes, Makati City",Transport_Automobile Hyundai Accent PN,Electrical Ignition caused by Arcing,No Alarm,Negative,Negative,SFO1 Pacubat/SFO1 Balleta,"Php10,000.00"
SA,24 Dec 2022 1346H,"264 Blk. 8, T. Alonzo St., Brgy. West Rembo, Makati City",Residential_Single/ ,Open Flame from Cooking,No Alarm,Negative,Negative,SFO1 Pacubat/SFO1 Balleta,Php200.00
SA,24 Dec 2022 1833H,"#7166 M. Ocampo St., Brgy. Pio del Pilar, Makati City",Non_Structural/Post Fire/Meralco/Makati LGU,Electrical ignition caused by loosed connection,Fireout Upon Arrival,Negative,Negative,SFO1 Pacubat/SFO1 Balleta,Php500.00
