DAY,HOUR,ALARM_LEVEL,TEMPERATURE,HUMIDITY,DISTRICT1,ENTITIES_nonresidential,ENTITIES_nonstructural,ENTITIES_residential,ENTITIES_structural,ENTITIES_transport,FIRE_ORIGIN_battery short circuit,FIRE_ORIGIN_electrical ignition,FIRE_ORIGIN_ignition of materials,FIRE_ORIGIN_lighted cigarette,FIRE_ORIGIN_open flame,FIRE_ORIGIN_others,FIRE_ORIGIN_overheated engine,ESTIMATED_PHP_LOSS
2,22,fireout upon arrival,28,0.7,1,0,1,0,0,0,0,1,0,0,0,0,0,1000
2,21,fireout upon arrival,28,0.7,1,0,0,1,0,0,0,1,0,0,0,0,0,1000
5,16,1st alarm,30,0.7,0,0,0,1,0,0,0,0,0,0,1,0,0,5000
5,16,1st alarm,30,0.7,1,0,0,1,0,0,0,0,0,0,0,1,0,25000
7,11,fireout upon arrival,31,0.59,0,0,1,0,0,0,0,1,0,0,0,0,0,500
8,4,fireout upon arrival,26,0.79,0,0,0,1,0,0,0,0,0,0,0,1,0,500
8,7,fireout upon arrival,26,0.79,1,1,0,0,0,0,0,1,0,0,0,0,0,1000
10,19,fireout upon arrival,26,0.94,0,0,1,0,0,0,0,1,0,0,0,0,0,500
10,20,fireout upon arrival,25,0.94,0,0,0,1,0,0,0,1,0,0,0,0,0,500
12,10,1st alarm,28,0.79,0,0,0,1,0,0,0,0,0,0,0,1,0,180000
12,20,fireout upon arrival,27,0.79,0,0,0,1,0,0,0,0,0,0,1,0,0,500
12,22,no alarm,27,0.84,1,0,0,1,0,0,0,0,0,0,1,0,0,600
14,18,fireout upon arrival,27,0.89,1,1,0,0,0,0,0,0,1,0,0,0,0,1000
15,12,fireout upon arrival,33,0.59,1,0,0,0,0,1,0,0,1,0,0,0,0,1000
15,16,no alarm,30,0.66,1,0,1,0,0,0,0,0,0,1,0,0,0,0
18,22,fireout upon arrival,27,0.66,0,0,0,1,0,0,0,0,0,0,1,0,0,1000
20,22,no alarm,26,0.89,1,0,1,0,0,0,0,1,0,0,0,0,0,500
21,0,fireout upon arrival,25,0.94,1,1,0,0,0,0,0,0,0,0,1,0,0,500
23,15,no alarm,29,0.51,1,0,0,0,0,1,0,1,0,0,0,0,0,10000
24,13,no alarm,30,0.52,0,0,0,1,0,0,0,0,0,0,1,0,0,200
24,18,fireout upon arrival,26,0.58,1,0,1,0,0,0,0,1,0,0,0,0,0,500
26,14,fireout upon arrival,28,0.58,0,0,0,1,0,0,0,0,0,0,1,0,0,3750
28,12,fireout upon arrival,28,0.66,1,0,0,0,0,1,1,0,0,0,0,0,0,300000
31,23,no alarm,26,0.84,0,0,1,0,0,0,0,1,0,0,0,0,0,200
1,12,fireout upon arrival,30,0.7,0,0,0,1,0,0,0,0,0,0,0,1,0,3000
1,15,fireout upon arrival,29,0.79,1,0,0,1,0,0,0,1,0,0,0,0,0,3000
1,19,fireout upon arrival,28,0.74,1,1,0,0,0,0,0,1,0,0,0,0,0,3000
1,20,fireout upon arrival,27,0.79,1,0,0,1,0,0,0,1,0,0,0,0,0,1000
3,10,1st alarm,29,0.74,0,0,0,1,0,0,0,1,0,0,0,0,0,1200000
3,12,1st alarm,31,0.7,1,0,0,1,0,0,0,0,0,0,0,0,1,3000000
4,11,fireout upon arrival,32,0.59,1,0,0,0,0,1,0,0,0,0,0,0,1,1000
5,22,fireout upon arrival,27,0.79,1,0,0,1,0,0,0,1,0,0,0,0,0,1000
6,11,fireout upon arrival,30,0.62,0,1,0,0,0,0,0,0,0,0,1,0,0,1000
7,5,fireout upon arrival,26,0.84,1,0,1,0,0,0,0,1,0,0,0,0,0,1000
11,7,no alarm,27,0.84,0,0,0,1,0,0,0,1,0,0,0,0,0,500
14,5,fireout upon arrival,27,0.79,1,0,0,1,0,0,0,0,0,0,1,0,0,45000
16,2,fireout upon arrival,25,0.94,1,0,1,0,0,0,0,1,0,0,0,0,0,1000
16,17,missing,30,0.7,1,0,0,1,0,0,0,0,0,0,1,0,0,5000
17,10,1st alarm,31,0.66,1,0,0,1,0,0,0,1,0,0,0,0,0,30000
17,11,fireout upon arrival,29,0.79,0,1,0,0,0,0,0,0,0,0,0,0,1,3000
17,13,fireout upon arrival,30,0.74,1,1,0,0,0,0,0,0,0,0,0,0,1,3000
18,21,fireout upon arrival,27,0.84,1,0,0,1,0,0,1,0,0,0,0,0,0,48000
20,1,fireout upon arrival,25,0.94,1,0,0,1,0,0,0,1,0,0,0,0,0,1000
22,20,fireout upon arrival,28,0.74,0,0,1,0,0,0,0,1,0,0,0,0,0,500
25,11,fireout upon arrival,30,0.66,0,0,0,1,0,0,0,0,1,0,0,0,0,500
25,21,fireout upon arrival,28,0.74,0,0,1,0,0,0,0,1,0,0,0,0,0,500
26,17,fireout upon arrival,31,0.62,0,0,0,1,0,0,0,1,0,0,0,0,0,500
27,11,fireout upon arrival,31,0.62,1,1,0,0,0,0,0,0,0,0,1,0,0,5000
2,19,missing,29,0.66,0,0,0,1,0,0,0,1,0,0,0,0,0,2000
6,21,missing,29,0.74,1,0,0,1,0,0,0,1,0,0,0,0,0,1000
6,23,missing,29,0.74,1,0,1,0,0,0,0,1,0,0,0,0,0,1000
8,14,missing,31,0.62,1,0,1,0,0,0,0,1,0,0,0,0,0,1000
8,22,missing,29,0.79,1,0,1,0,0,0,0,1,0,0,0,0,0,1000
9,8,missing,28,0.79,1,1,0,0,0,0,0,0,0,0,0,1,0,1500
11,18,missing,29,0.74,1,0,1,0,0,0,0,1,0,0,0,0,0,500
13,5,missing,27,0.89,1,0,1,0,0,0,0,1,0,0,0,0,0,500
14,19,1st alarm,30,0.75,0,0,0,1,0,0,0,1,0,0,0,0,0,18000
19,16,missing,29,0.79,0,0,1,0,0,0,0,0,0,0,0,1,0,0
20,16,missing,28,0.79,1,0,1,0,0,0,0,1,0,0,0,0,0,1000
21,23,missing,28,0.84,0,0,1,0,0,0,0,1,0,0,0,0,0,1000
22,7,missing,27,0.89,1,0,0,1,0,0,0,1,0,0,0,0,0,1000
22,17,missing,31,0.7,0,1,0,0,0,0,0,1,0,0,0,0,0,1000
22,22,missing,28,0.79,1,0,1,0,0,0,0,1,0,0,0,0,0,500
23,7,1st alarm,28,0.79,0,1,0,0,0,0,0,1,0,0,0,0,0,540000
23,11,1st alarm,33,0.56,1,1,0,0,0,0,0,0,0,0,1,0,0,1605000
25,16,missing,25,0.94,0,0,0,1,0,0,0,1,0,0,0,0,0,500
25,23,missing,24,1,0,0,0,1,0,0,0,0,0,0,1,0,0,300
28,9,missing,29,0.66,1,1,0,0,0,0,0,0,0,0,1,0,0,80000
28,20,missing,27,0.84,1,0,0,0,0,1,1,0,0,0,0,0,0,20000
29,18,missing,25,1,1,0,1,0,0,0,0,1,0,0,0,0,0,500
29,20,missing,25,1,1,0,0,1,0,0,0,1,0,0,0,0,0,500
29,21,missing,24,1,1,0,1,0,0,0,0,1,0,0,0,0,0,500
1,20,missing,28,0.84,1,0,0,0,0,1,0,0,0,0,0,0,1,10000
3,12,missing,24,1,0,0,0,0,1,0,0,1,0,0,0,0,0,500
6,6,missing,27,0.89,0,0,0,0,0,1,0,1,0,0,0,0,0,5000
7,17,missing,33,0.63,1,0,1,0,0,0,0,1,0,0,0,0,0,1000
7,19,missing,31,0.7,1,0,1,0,0,0,0,1,0,0,0,0,0,1000
8,7,missing,29,0.79,0,1,0,0,0,0,0,1,0,0,0,0,0,2000
8,16,missing,34,0.56,1,1,0,0,0,0,0,0,1,0,0,0,0,150000
9,3,missing,26,0.94,0,1,0,0,0,0,0,1,0,0,0,0,0,45000
10,22,missing,27,0.89,1,0,1,0,0,0,0,1,0,0,0,0,0,1000
